cty,industry,industry_naics_code,industry_employment
1033,Manufacturing,31,4539
1033,Wholesale trade,42,1190
1033,Retail Trade,44,2777
1033,Transportation & Warehousing,48,298
1033,Information,51,180
1033,Finance & insurance,52,525
1033,Real estate & rental & leasing,53,267
1033,"Professional, scientific, & technical services",54,259
1033,Management of companies & enterprises,55,0
1033,Administrative & support & waste management & remediation serv,56,2629
1033,Educational services,61,63
1033,Health care & social assistance,62,1821
1033,"Arts, entertainment, & recreation",71,0
1033,Accommodation & foodservices,72,1545
1033,Other services (except public administration),81,1030
1033,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1033,Unclassified,99,0
1035,"Agriculture, forestry, fishing, & hunting",11,281
1035,Utilities,22,71
1035,Construction,23,63
1035,Manufacturing,31,931
1035,Wholesale trade,42,89
1035,Retail Trade,44,252
1035,Transportation & Warehousing,48,1063
1035,Information,51,23
1035,Finance & insurance,52,62
1035,Real estate & rental & leasing,53,0
1035,"Professional, scientific, & technical services",54,20
1035,Administrative & support & waste management & remediation serv,56,23
1035,Educational services,61,0
1035,Health care & social assistance,62,352
1035,"Arts, entertainment, & recreation",71,0
1035,Accommodation & foodservices,72,190
1035,Other services (except public administration),81,86
1035,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1035,Unclassified,99,0
1037,"Agriculture, forestry, fishing, & hunting",11,68
1037,Utilities,22,0
1037,Construction,23,0
1037,Manufacturing,31,803
1037,Wholesale trade,42,0
1037,Retail Trade,44,117
1037,Transportation & Warehousing,48,0
1037,Information,51,0
1037,Finance & insurance,52,0
1037,Real estate & rental & leasing,53,8
1037,"Professional, scientific, & technical services",54,0
1037,Administrative & support & waste management & remediation serv,56,8
1037,Health care & social assistance,62,0
1037,"Arts, entertainment, & recreation",71,0
1037,Accommodation & foodservices,72,3
1037,Other services (except public administration),81,0
1039,"Agriculture, forestry, fishing, & hunting",11,158
1039,Mining,21,0
1039,Utilities,22,0
1039,Construction,23,594
1039,Manufacturing,31,2765
1039,Wholesale trade,42,620
1039,Retail Trade,44,1973
1039,Transportation & Warehousing,48,616
1039,Information,51,194
1039,Finance & insurance,52,313
1039,Real estate & rental & leasing,53,80
1039,"Professional, scientific, & technical services",54,292
1039,Management of companies & enterprises,55,0
1039,Administrative & support & waste management & remediation serv,56,134
1039,Educational services,61,0
1039,Health care & social assistance,62,1474
1039,"Arts, entertainment, & recreation",71,53
1039,Accommodation & foodservices,72,750
1039,Other services (except public administration),81,544
1039,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,0
1039,Unclassified,99,12
1041,"Agriculture, forestry, fishing, & hunting",11,186
1041,Mining,21,0
1041,Utilities,22,0
1041,Construction,23,316
1041,Manufacturing,31,574
1041,Wholesale trade,42,376
1041,Retail Trade,44,332
1041,Transportation & Warehousing,48,97
1041,Information,51,0
1041,Finance & insurance,52,64
1041,Real estate & rental & leasing,53,0
1041,"Professional, scientific, & technical services",54,0
1041,Administrative & support & waste management & remediation serv,56,65
1041,Educational services,61,0
1041,Health care & social assistance,62,376
1041,"Arts, entertainment, & recreation",71,0
1041,Accommodation & foodservices,72,0
1041,Other services (except public administration),81,71
1041,Unclassified,99,0
1043,"Agriculture, forestry, fishing, & hunting",11,149
1043,Mining,21,0
1043,Utilities,22,106
1043,Construction,23,1538
1043,Manufacturing,31,5933
1043,Wholesale trade,42,697
1043,Retail Trade,44,3409
1043,Transportation & Warehousing,48,1130
1043,Information,51,233
1043,Finance & insurance,52,648
1043,Real estate & rental & leasing,53,221
1043,"Professional, scientific, & technical services",54,491
1043,Management of companies & enterprises,55,0
1043,Administrative & support & waste management & remediation serv,56,631
1043,Educational services,61,0
1043,Health care & social assistance,62,2790
1043,"Arts, entertainment, & recreation",71,79
1043,Accommodation & foodservices,72,1797
1043,Other services (except public administration),81,925
1043,"Auxiliaries, exc corp, subsidiary, & regional managing offices",95,1580
1043,Unclassified,99,24
1045,"Agriculture, forestry, fishing, & hunting",11,52
1045,Utilities,22,0
1045,Construction,23,603
1045,Manufacturing,31,1136
1045,Wholesale trade,42,251
1045,Retail Trade,44,1447
1045,Transportation & Warehousing,48,1914
1045,Information,51,110
1045,Finance & insurance,52,329
1045,Real estate & rental & leasing,53,187
1045,"Professional, scientific, & technical services",54,275
1045,Management of companies & enterprises,55,0
1045,Administrative & support & waste management & remediation serv,56,57
1045,Educational services,61,532
1045,Health care & social assistance,62,1248
1045,"Arts, entertainment, & recreation",71,0
1045,Accommodation & foodservices,72,998
1045,Other services (except public administration),81,490
1045,Unclassified,99,0
1047,"Agriculture, forestry, fishing, & hunting",11,98
1047,Mining,21,0
1047,Utilities,22,126
1047,Construction,23,494
1047,Manufacturing,31,5633
1047,Wholesale trade,42,656
1047,Retail Trade,44,2207
1047,Transportation & Warehousing,48,0
1047,Information,51,234
1047,Finance & insurance,52,411
1047,Real estate & rental & leasing,53,128
